datetime,date,time,clicks
06-08-2020 20:00:00,06-08-2020,20:00:00,19858.0
06-08-2020 21:00:00,06-08-2020,21:00:00,16868.0
06-08-2020 22:00:00,06-08-2020,22:00:00,13579.0
06-08-2020 23:00:00,06-08-2020,23:00:00,10321.0
06-09-2020 00:00:00,06-09-2020,00:00:00,8055.0
06-09-2020 01:00:00,06-09-2020,01:00:00,6559.0
06-09-2020 02:00:00,06-09-2020,02:00:00,5867.0
06-09-2020 03:00:00,06-09-2020,03:00:00,6366.0
06-09-2020 04:00:00,06-09-2020,04:00:00,8474.0
06-09-2020 05:00:00,06-09-2020,05:00:00,12238.0
06-09-2020 06:00:00,06-09-2020,06:00:00,17875.0
06-09-2020 07:00:00,06-09-2020,07:00:00,24180.0
06-09-2020 08:00:00,06-09-2020,08:00:00,29714.0
06-09-2020 09:00:00,06-09-2020,09:00:00,32716.0
06-09-2020 10:00:00,06-09-2020,10:00:00,33947.0
06-09-2020 11:00:00,06-09-2020,11:00:00,34174.0
06-09-2020 12:00:00,06-09-2020,12:00:00,34575.0
06-09-2020 13:00:00,06-09-2020,13:00:00,33977.0
06-09-2020 14:00:00,06-09-2020,14:00:00,32999.0
06-09-2020 15:00:00,06-09-2020,15:00:00,31150.0
06-09-2020 16:00:00,06-09-2020,16:00:00,28552.0
06-09-2020 17:00:00,06-09-2020,17:00:00,25722.0
06-09-2020 18:00:00,06-09-2020,18:00:00,23283.0
06-09-2020 19:00:00,06-09-2020,19:00:00,21486.0
06-09-2020 20:00:00,06-09-2020,20:00:00,19294.0
06-09-2020 21:00:00,06-09-2020,21:00:00,16371.0
06-09-2020 22:00:00,06-09-2020,22:00:00,13166.0
06-09-2020 23:00:00,06-09-2020,23:00:00,10227.0
